province_id,district_id,subdistrict_id,month,intensity_mj_m2_day
1,1,1,1,18.76
1,1,1,2,21.31
1,1,1,3,21.35
1,1,1,4,21.04
1,1,1,5,19.25
1,1,1,6,18.35
1,1,1,7,17.78
1,1,1,8,18.38
1,1,1,9,17.85
1,1,1,10,17.48
1,1,1,11,16.48
1,1,1,12,16.74
1,1,2,1,19.03
1,1,2,2,21.54
1,1,2,3,21.57
1,1,2,4,21.25
1,1,2,5,19.45
1,1,2,6,18.5
1,1,2,7,17.97
1,1,2,8,18.59
1,1,2,9,18.02
1,1,2,10,17.75
1,1,2,11,16.7
1,1,2,12,16.99
1,1,3,1,18.01
1,1,3,2,20.53
1,1,3,3,20.52
1,1,3,4,20.35
1,1,3,5,18.55
1,1,3,6,17.73
1,1,3,7,17.14
1,1,3,8,17.64
1,1,3,9,17.2
1,1,3,10,16.48
1,1,3,11,15.72
1,1,3,12,16.04
1,1,4,1,19.1
1,1,4,2,21.57
1,1,4,3,21.71
1,1,4,4,21.41
1,1,4,5,19.14
1,1,4,6,18.25
1,1,4,7,17.63
1,1,4,8,18.15
1,1,4,9,17.75
1,1,4,10,17.65
1,1,4,11,17.07
1,1,4,12,17.16
1,1,5,1,19.31
1,1,5,2,21.73
1,1,5,3,21.85
1,1,5,4,21.54
1,1,5,5,19.26
1,1,5,6,18.29
1,1,5,7,17.76
1,1,5,8,18.28
1,1,5,9,17.87
1,1,5,10,17.85
1,1,5,11,17.29
1,1,5,12,17.33
1,1,6,1,17.95
1,1,6,2,20.39
1,1,6,3,20.36
1,1,6,4,20.32
1,1,6,5,18.41
1,1,6,6,17.49
1,1,6,7,16.91
1,1,6,8,17.48
1,1,6,9,16.92
1,1,6,10,16.29
1,1,6,11,15.75
1,1,6,12,16.11
1,1,7,1,19.36
1,1,7,2,21.79
1,1,7,3,21.85
1,1,7,4,21.48
1,1,7,5,19.68
1,1,7,6,18.68
1,1,7,7,18.21
1,1,7,8,18.84
1,1,7,9,18.23
1,1,7,10,18.04
1,1,7,11,16.99
1,1,7,12,17.31
1,1,8,1,20.14
1,1,8,2,22.4
1,1,8,3,22.52
1,1,8,4,21.71
1,1,8,5,19.92
1,1,8,6,18.95
1,1,8,7,18.63
1,1,8,8,18.99
1,1,8,9,18.52
1,1,8,10,18.66
1,1,8,11,17.92
1,1,8,12,18.01
1,1,9,1,19.89
1,1,9,2,22.12
1,1,9,3,22.27
1,1,9,4,21.68
1,1,9,5,19.4
1,1,9,6,18.49
1,1,9,7,18.12
1,1,9,8,18.53
1,1,9,9,18.03
1,1,9,10,18.31
1,1,9,11,17.72
1,1,9,12,17.87
1,1,10,1,19.17
1,1,10,2,21.61
1,1,10,3,21.63
1,1,10,4,21.3
1,1,10,5,19.57
1,1,10,6,18.6
1,1,10,7,18.1
1,1,10,8,18.75
1,1,10,9,18.13
1,1,10,10,17.89
1,1,10,11,16.78
1,1,10,12,17.14
1,2,1,1,17.44
1,2,1,2,19.97
1,2,1,3,19.91
1,2,1,4,19.87
1,2,1,5,17.82
1,2,1,6,17.15
1,2,1,7,16.61
1,2,1,8,17.14
1,2,1,9,16.54
1,2,1,10,15.86
1,2,1,11,15.19
1,2,1,12,15.55
1,2,2,1,17.16
1,2,2,2,19.86
1,2,2,3,19.89
1,2,2,4,19.95
1,2,2,5,17.72
1,2,2,6,17.08
1,2,2,7,16.58
1,2,2,8,17.13
1,2,2,9,16.3
1,2,2,10,15.78
1,2,2,11,14.95
1,2,2,12,15.37
1,2,3,1,17.1
1,2,3,2,19.85
1,2,3,3,19.9
1,2,3,4,19.81
1,2,3,5,17.82
1,2,3,6,17.03
1,2,3,7,16.64
1,2,3,8,17.22
1,2,3,9,16.35
1,2,3,10,15.69
1,2,3,11,14.67
1,2,3,12,15.11
1,2,4,1,17.34
1,2,4,2,19.98
1,2,4,3,19.86
1,2,4,4,19.77
1,2,4,5,17.76
1,2,4,6,17.04
1,2,4,7,16.55
1,2,4,8,17.23
1,2,4,9,16.46
1,2,4,10,15.8
1,2,4,11,14.86
1,2,4,12,15.31
1,2,5,1,17.18
1,2,5,2,19.78
1,2,5,3,19.58
1,2,5,4,19.5
1,2,5,5,17.36
1,2,5,6,16.58
1,2,5,7,15.9
1,2,5,8,16.46
1,2,5,9,15.72
1,2,5,10,15.38
1,2,5,11,15.04
1,2,5,12,15.44
1,2,6,1,17.27
1,2,6,2,20.01
1,2,6,3,19.87
1,2,6,4,19.8
1,2,6,5,17.84
1,2,6,6,17.11
1,2,6,7,16.6
1,2,6,8,17.12
1,2,6,9,16.42
1,2,6,10,15.7
1,2,6,11,14.68
1,2,6,12,15.11
1,3,1,1,20.13
1,3,1,2,22.42
1,3,1,3,22.43
1,3,1,4,21.56
1,3,1,5,19.8
1,3,1,6,18.77
1,3,1,7,18.46
1,3,1,8,18.69
1,3,1,9,18.22
1,3,1,10,18.34
1,3,1,11,17.67
1,3,1,12,17.74
1,3,2,1,19.55
1,3,2,2,21.92
1,3,2,3,21.86
1,3,2,4,21.2
1,3,2,5,19.32
1,3,2,6,18.22
1,3,2,7,17.85
1,3,2,8,18.18
1,3,2,9,17.77
1,3,2,10,17.73
1,3,2,11,17.09
1,3,2,12,17.13
1,3,3,1,18.79
1,3,3,2,21.32
1,3,3,3,21.17
1,3,3,4,20.54
1,3,3,5,18.95
1,3,3,6,17.94
1,3,3,7,17.4
1,3,3,8,17.79
1,3,3,9,17.22
1,3,3,10,17.1
1,3,3,11,16.38
1,3,3,12,16.53
1,3,4,1,18.52
1,3,4,2,21.01
1,3,4,3,20.87
1,3,4,4,20.43
1,3,4,5,19.07
1,3,4,6,18.03
1,3,4,7,17.63
1,3,4,8,18.07
1,3,4,9,17.47
1,3,4,10,16.82
1,3,4,11,15.76
1,3,4,12,16.13
1,3,5,1,19.94
1,3,5,2,22.29
1,3,5,3,22.27
1,3,5,4,21.58
1,3,5,5,19.79
1,3,5,6,18.71
1,3,5,7,18.41
1,3,5,8,18.68
1,3,5,9,18.2
1,3,5,10,18.28
1,3,5,11,17.43
1,3,5,12,17.5
1,4,1,1,17.98
1,4,1,2,20.48
1,4,1,3,20.29
1,4,1,4,20.03
1,4,1,5,18.66
1,4,1,6,17.7
1,4,1,7,17.33
1,4,1,8,17.8
1,4,1,9,17.17
1,4,1,10,16.41
1,4,1,11,15.35
1,4,1,12,15.75
1,4,2,1,17.55
1,4,2,2,20.05
1,4,2,3,19.74
1,4,2,4,19.47
1,4,2,5,17.93
1,4,2,6,17.1
1,4,2,7,16.7
1,4,2,8,17.08
1,4,2,9,16.31
1,4,2,10,15.6
1,4,2,11,14.75
1,4,2,12,15.24
1,4,3,1,18.48
1,4,3,2,21.05
1,4,3,3,21
1,4,3,4,20.6
1,4,3,5,19.1
1,4,3,6,18.16
1,4,3,7,17.6
1,4,3,8,18.1
1,4,3,9,17.44
1,4,3,10,16.97
1,4,3,11,15.76
1,4,3,12,16.04
1,4,4,1,18.77
1,4,4,2,21.3
1,4,4,3,21.16
1,4,4,4,20.79
1,4,4,5,19.38
1,4,4,6,18.33
1,4,4,7,17.82
1,4,4,8,18.29
1,4,4,9,17.72
1,4,4,10,17.21
1,4,4,11,15.86
1,4,4,12,16.15
1,4,5,1,18.52
1,4,5,2,21.01
1,4,5,3,20.87
1,4,5,4,20.43
1,4,5,5,19.07
1,4,5,6,18.03
1,4,5,7,17.63
1,4,5,8,18.07
1,4,5,9,17.47
1,4,5,10,16.82
1,4,5,11,15.76
1,4,5,12,16.13
1,4,6,1,17.48
1,4,6,2,20.05
1,4,6,3,19.71
1,4,6,4,19.45
1,4,6,5,17.87
1,4,6,6,17.13
1,4,6,7,16.63
1,4,6,8,17.17
1,4,6,9,16.39
1,4,6,10,15.59
1,4,6,11,14.69
1,4,6,12,15.24
1,4,7,1,17.7
1,4,7,2,20.22
1,4,7,3,19.88
1,4,7,4,19.68
1,4,7,5,18.2
1,4,7,6,17.43
1,4,7,7,16.95
1,4,7,8,17.47
1,4,7,9,16.8
1,4,7,10,15.99
1,4,7,11,15.04
1,4,7,12,15.55
1,5,1,1,18.49
1,5,1,2,20.92
1,5,1,3,20.96
1,5,1,4,20.7
1,5,1,5,18.55
1,5,1,6,17.82
1,5,1,7,17.1
1,5,1,8,17.65
1,5,1,9,17.28
1,5,1,10,16.73
1,5,1,11,16.24
1,5,1,12,16.56
1,5,2,1,19.24
1,5,2,2,21.6
1,5,2,3,21.63
1,5,2,4,21.34
1,5,2,5,18.93
1,5,2,6,18.08
1,5,2,7,17.45
1,5,2,8,18.02
1,5,2,9,17.49
1,5,2,10,17.59
1,5,2,11,17.31
1,5,2,12,17.37
1,5,3,1,18.02
1,5,3,2,20.45
1,5,3,3,20.29
1,5,3,4,20.32
1,5,3,5,17.76
1,5,3,6,17.06
1,5,3,7,16.39
1,5,3,8,16.95
1,5,3,9,16.47
1,5,3,10,16.04
1,5,3,11,15.8
1,5,3,12,16.15
1,5,4,1,17.58
1,5,4,2,20.02
1,5,4,3,19.91
1,5,4,4,19.83
1,5,4,5,18.04
1,5,4,6,17.31
1,5,4,7,16.59
1,5,4,8,17.16
1,5,4,9,16.61
1,5,4,10,15.78
1,5,4,11,15.4
1,5,4,12,15.86
1,5,5,1,19.03
1,5,5,2,21.49
1,5,5,3,21.65
1,5,5,4,21.34
1,5,5,5,19.06
1,5,5,6,18.26
1,5,5,7,17.53
1,5,5,8,18.1
1,5,5,9,17.66
1,5,5,10,17.58
1,5,5,11,17.07
1,5,5,12,17.17
1,5,6,1,17.79
1,5,6,2,20.23
1,5,6,3,20.1
1,5,6,4,20.07
1,5,6,5,17.88
1,5,6,6,17.18
1,5,6,7,16.59
1,5,6,8,16.98
1,5,6,9,16.63
1,5,6,10,15.75
1,5,6,11,15.4
1,5,6,12,15.86
1,5,7,1,18.3
1,5,7,2,20.73
1,5,7,3,20.68
1,5,7,4,20.53
1,5,7,5,18.25
1,5,7,6,17.47
1,5,7,7,16.74
1,5,7,8,17.3
1,5,7,9,16.93
1,5,7,10,16.35
1,5,7,11,16.04
1,5,7,12,16.39
1,5,8,1,17.49
1,5,8,2,19.96
1,5,8,3,19.64
1,5,8,4,19.66
1,5,8,5,17.48
1,5,8,6,16.73
1,5,8,7,16.12
1,5,8,8,16.56
1,5,8,9,15.92
1,5,8,10,15.39
1,5,8,11,15.14
1,5,8,12,15.55
1,5,9,1,17.79
1,5,9,2,20.24
1,5,9,3,20.09
1,5,9,4,20.02
1,5,9,5,18.06
1,5,9,6,17.33
1,5,9,7,16.68
1,5,9,8,17.1
1,5,9,9,16.73
1,5,9,10,15.86
1,5,9,11,15.46
1,5,9,12,15.92
1,6,1,1,17.69
1,6,1,2,20.21
1,6,1,3,20.1
1,6,1,4,20.31
1,6,1,5,17.62
1,6,1,6,16.79
1,6,1,7,16.17
1,6,1,8,16.61
1,6,1,9,16.14
1,6,1,10,15.71
1,6,1,11,15.18
1,6,1,12,15.61
1,6,2,1,17.79
1,6,2,2,20.33
1,6,2,3,20.07
1,6,2,4,20.3
1,6,2,5,17.6
1,6,2,6,16.77
1,6,2,7,16.2
1,6,2,8,16.64
1,6,2,9,16.21
1,6,2,10,15.78
1,6,2,11,15.47
1,6,2,12,15.8
1,6,3,1,17.77
1,6,3,2,20.25
1,6,3,3,20.18
1,6,3,4,20.53
1,6,3,5,17.53
1,6,3,6,16.77
1,6,3,7,16.2
1,6,3,8,16.62
1,6,3,9,16.2
1,6,3,10,15.87
1,6,3,11,15.51
1,6,3,12,15.85
1,6,4,1,17.61
1,6,4,2,20.07
1,6,4,3,19.85
1,6,4,4,20.03
1,6,4,5,17.53
1,6,4,6,16.75
1,6,4,7,16.08
1,6,4,8,16.52
1,6,4,9,16.06
1,6,4,10,15.54
1,6,4,11,15.17
1,6,4,12,15.56
1,7,1,1,17.22
1,7,1,2,19.89
1,7,1,3,19.86
1,7,1,4,19.5
1,7,1,5,17.59
1,7,1,6,16.96
1,7,1,7,16.49
1,7,1,8,17.11
1,7,1,9,16.3
1,7,1,10,15.44
1,7,1,11,14.47
1,7,1,12,14.92
1,7,2,1,17.06
1,7,2,2,19.85
1,7,2,3,19.82
1,7,2,4,19.64
1,7,2,5,17.63
1,7,2,6,17.03
1,7,2,7,16.54
1,7,2,8,17.2
1,7,2,9,16.38
1,7,2,10,15.53
1,7,2,11,14.4
1,7,2,12,14.78
1,7,3,1,17.44
1,7,3,2,20.05
1,7,3,3,19.82
1,7,3,4,19.45
1,7,3,5,17.72
1,7,3,6,17.03
1,7,3,7,16.48
1,7,3,8,17.17
1,7,3,9,16.33
1,7,3,10,15.54
1,7,3,11,14.6
1,7,3,12,15.13
1,7,4,1,17.1
1,7,4,2,19.77
1,7,4,3,19.7
1,7,4,4,19.49
1,7,4,5,17.62
1,7,4,6,17.02
1,7,4,7,16.57
1,7,4,8,17.11
1,7,4,9,16.28
1,7,4,10,15.46
1,7,4,11,14.35
1,7,4,12,14.78
1,8,1,1,18.45
1,8,1,2,20.95
1,8,1,3,20.87
1,8,1,4,20.61
1,8,1,5,19.13
1,8,1,6,18.23
1,8,1,7,17.73
1,8,1,8,18.29
1,8,1,9,17.71
1,8,1,10,17.11
1,8,1,11,15.89
1,8,1,12,16.41
1,8,2,1,19.46
1,8,2,2,21.87
1,8,2,3,21.84
1,8,2,4,21.55
1,8,2,5,19.75
1,8,2,6,18.69
1,8,2,7,18.37
1,8,2,8,18.77
1,8,2,9,18.26
1,8,2,10,18
1,8,2,11,16.94
1,8,2,12,17.13
1,8,3,1,18.44
1,8,3,2,20.93
1,8,3,3,20.79
1,8,3,4,20.5
1,8,3,5,19.09
1,8,3,6,18.15
1,8,3,7,17.78
1,8,3,8,18.26
1,8,3,9,17.62
1,8,3,10,16.98
1,8,3,11,15.9
1,8,3,12,16.27
1,8,4,1,18.84
1,8,4,2,21.29
1,8,4,3,21.26
1,8,4,4,20.97
1,8,4,5,19.42
1,8,4,6,18.44
1,8,4,7,17.96
1,8,4,8,18.59
1,8,4,9,17.96
1,8,4,10,17.52
1,8,4,11,16.33
1,8,4,12,16.77
1,8,5,1,17.64
1,8,5,2,20.24
1,8,5,3,19.91
1,8,5,4,19.87
1,8,5,5,18.14
1,8,5,6,17.43
1,8,5,7,16.95
1,8,5,8,17.47
1,8,5,9,16.81
1,8,5,10,16.05
1,8,5,11,15.14
1,8,5,12,15.61
1,8,6,1,19.11
1,8,6,2,21.6
1,8,6,3,21.57
1,8,6,4,21.26
1,8,6,5,19.57
1,8,6,6,18.57
1,8,6,7,18.19
1,8,6,8,18.71
1,8,6,9,18.08
1,8,6,10,17.69
1,8,6,11,16.62
1,8,6,12,16.95
1,8,7,1,17.97
1,8,7,2,20.48
1,8,7,3,20.26
1,8,7,4,20.05
1,8,7,5,18.64
1,8,7,6,17.71
1,8,7,7,17.33
1,8,7,8,17.84
1,8,7,9,17.16
1,8,7,10,16.43
1,8,7,11,15.34
1,8,7,12,15.81
1,8,8,1,17.81
1,8,8,2,20.31
1,8,8,3,20.15
1,8,8,4,20.08
1,8,8,5,18.42
1,8,8,6,17.7
1,8,8,7,17.19
1,8,8,8,17.66
1,8,8,9,17.06
1,8,8,10,16.25
1,8,8,11,15.35
1,8,8,12,15.79
2,1,1,1,17.55
2,1,1,2,19.24
2,1,1,3,19.87
2,1,1,4,20.88
2,1,1,5,18.89
2,1,1,6,18.26
2,1,1,7,17.41
2,1,1,8,17.13
2,1,1,9,17
2,1,1,10,16.63
2,1,1,11,16.88
2,1,1,12,16.75
2,1,2,1,17.59
2,1,2,2,19.28
2,1,2,3,19.92
2,1,2,4,20.97
2,1,2,5,18.99
2,1,2,6,18.31
2,1,2,7,17.45
2,1,2,8,17.21
2,1,2,9,17
2,1,2,10,16.6
2,1,2,11,16.87
2,1,2,12,16.75
2,1,3,1,17.55
2,1,3,2,19.24
2,1,3,3,19.87
2,1,3,4,20.88
2,1,3,5,18.89
2,1,3,6,18.26
2,1,3,7,17.41
2,1,3,8,17.13
2,1,3,9,17
2,1,3,10,16.63
2,1,3,11,16.88
2,1,3,12,16.75
2,1,4,1,17.55
2,1,4,2,19.24
2,1,4,3,19.87
2,1,4,4,20.88
2,1,4,5,18.89
2,1,4,6,18.26
2,1,4,7,17.41
2,1,4,8,17.13
2,1,4,9,17
2,1,4,10,16.63
2,1,4,11,16.88
2,1,4,12,16.75
2,1,5,1,17.55
2,1,5,2,19.24
2,1,5,3,19.87
2,1,5,4,20.88
2,1,5,5,18.89
2,1,5,6,18.26
2,1,5,7,17.41
2,1,5,8,17.13
2,1,5,9,17
2,1,5,10,16.63
2,1,5,11,16.88
2,1,5,12,16.75
2,1,6,1,17.55
2,1,6,2,19.24
2,1,6,3,19.87
2,1,6,4,20.88
2,1,6,5,18.89
2,1,6,6,18.26
2,1,6,7,17.41
2,1,6,8,17.13
2,1,6,9,17
2,1,6,10,16.63
2,1,6,11,16.88
2,1,6,12,16.75
2,1,7,1,17.55
2,1,7,2,19.24
2,1,7,3,19.87
2,1,7,4,20.88
2,1,7,5,18.89
2,1,7,6,18.26
2,1,7,7,17.41
2,1,7,8,17.13
2,1,7,9,17
2,1,7,10,16.63
2,1,7,11,16.88
2,1,7,12,16.75
2,1,8,1,17.55
2,1,8,2,19.24
2,1,8,3,19.87
2,1,8,4,20.88
2,1,8,5,18.89
2,1,8,6,18.26
2,1,8,7,17.41
2,1,8,8,17.13
2,1,8,9,17
2,1,8,10,16.63
2,1,8,11,16.88
2,1,8,12,16.75
2,1,9,1,17.55
2,1,9,2,19.24
2,1,9,3,19.87
2,1,9,4,20.88
2,1,9,5,18.89
2,1,9,6,18.26
2,1,9,7,17.41
2,1,9,8,17.13
2,1,9,9,17
2,1,9,10,16.63
2,1,9,11,16.88
2,1,9,12,16.75
2,1,10,1,17.55
2,1,10,2,19.24
2,1,10,3,19.87
2,1,10,4,20.88
2,1,10,5,18.89
2,1,10,6,18.26
2,1,10,7,17.41
2,1,10,8,17.13
2,1,10,9,17
2,1,10,10,16.63
2,1,10,11,16.88
2,1,10,12,16.75
2,1,11,1,17.56
2,1,11,2,19.23
2,1,11,3,19.86
2,1,11,4,20.84
2,1,11,5,18.83
2,1,11,6,18.21
2,1,11,7,17.38
2,1,11,8,17.11
2,1,11,9,16.94
2,1,11,10,16.71
2,1,11,11,16.96
2,1,11,12,16.81
2,1,12,1,17.55
2,1,12,2,19.24
2,1,12,3,19.87
2,1,12,4,20.88
2,1,12,5,18.89
2,1,12,6,18.26
2,1,12,7,17.41
2,1,12,8,17.13
2,1,12,9,17
2,1,12,10,16.63
2,1,12,11,16.88
2,1,12,12,16.75
2,2,1,1,17.48
2,2,1,2,19.18
2,2,1,3,19.84
2,2,1,4,20.77
2,2,1,5,18.73
2,2,1,6,18.14
2,2,1,7,17.32
2,2,1,8,17.04
2,2,1,9,16.91
